Name,Image_URL,Real name,First Appearance,Creators,Team Affiliations,Aliases,Base of Operations,Powers,Skills and Abilities,Tools and Weapons
A-Bomb,https://static.wikia.nocookie.net/superheroes/images/2/27/A-Bomb.jpg/revision/latest/scale-to-width-down/180?cb=20170820172047,,"The Incredible Hulk (Vol. 1) #1 (May, 1962)","Stan Lee, Jack Kirby","Avengers, Loners","Whisperer, A-Bomb, Bucky, Hulk",Mobiles,Currently none,"Expert acrobat and hand to hand combatant, Self-taught folk and rock n' roll singer and guitarist, Expert in technology and security hacking",
Abe Sapien,https://static.wikia.nocookie.net/superheroes/images/c/c8/Abe_Sapien.jpg/revision/latest/scale-to-width-down/250?cb=20171015155223,,"Hellboy: Seed of Destruction #1 (Mar, 1994)",Mike Mignola,B.P.R.D.,"Brother Blue, Fishstick, Waterfisher, King Ocean",B.P.R.D. headquarters,"Underwater breathing, Psychometry, Telepathy, aquatically adapted physiology","Genius-level intelligence, Excellent Marksmanship, formidable hand-to-hand combatant",
Abin Sur,https://static.wikia.nocookie.net/superheroes/images/2/26/Abin_Sur.png/revision/latest/scale-to-width-down/250?cb=20150428140108,,"Showcase #22 (September–October, 1959)","John Broome, Gil Kane",,Lagzia,Ungara,Ability to form solid light constructs with his Green Lantern ring,"Green Lantern Training, Strong Willpower",Green Lantern Ring and Power Battery
Adam Monroe,https://static.wikia.nocookie.net/superheroes/images/1/13/Adam_Monroe.jpg/revision/latest?cb=20201001165950,,,,,,,,,
Adam Strange,https://static.wikia.nocookie.net/superheroes/images/e/e0/Adam_Strange.jpg/revision/latest/scale-to-width-down/250?cb=20150318153724,,"Showcase #17 (November, 1958)","Julius Schwartz, Murphy Anderson",,,Earth/Rann,"can see into the whole electromagnetic spectrum, Involuntary teleportation between worlds","Fighting Experience, Archaeologist",
Amazo,https://static.wikia.nocookie.net/superheroes/images/e/ec/Amazo.jpg/revision/latest/scale-to-width-down/220?cb=20191115134451,,,,,,,,,
Aquaman,https://static.wikia.nocookie.net/superheroes/images/3/3b/Aquaman.jpg/revision/latest/scale-to-width-down/250?cb=20240220180022,,"More Fun Comics #73 (November, 1941)","Mort Weisinger, Paul Norris",,"King of the Seven Seas, The Dweller-in-the-Depths, Aquatic Ace, Marine Marvel, Terra Firma",Atlantis,"Marine telepathy that grants the ability to manipulate sea life, Aquatic adapted physiology grants him superhuman strength, endurance, durability, reflexes, agility, dexterity, healing, and senses, Low level hydrokinetic talents (some continuities), Enhanced swimming speed, Able to speak and understand any language on Earth thanks to telepathic abilities",Hand-to-Hand and Spear Fighting Expertise,"Trident, Hook (for a time)"
Archangel,https://static.wikia.nocookie.net/superheroes/images/a/ab/Archangel.jpg/revision/latest/scale-to-width-down/180?cb=20140424204405,,"X-Men (Vol. 1) #1 (September, 1963)","Stan Lee, Jack Kirby",,"Avenging Angel, Archangel, Dark Angel, Death","Salem Centre, New York","Flight, Enhanced strength, Aerial adaptation, Peak physical attributes, Metal wings for flight, speed, and projection of razor sharp feathers (as Archangel), Healing factor",Experience in managing company and fortune,Occasionally uses projectile weapons
Ariel,https://static.wikia.nocookie.net/superheroes/images/5/52/Ariel.jpg/revision/latest?cb=20240318161920,,"Fallen Angels #2 (February, 1987)","Jo Duffy, Kerry Gammill",X-Men,She Who Speaks Like Water Running Across the Stones,"Coconut Grove, Krakoa","Teleportation portals, Telepathic influence","Acting skills, Intensive knowledge of physics",
Atlas,https://static.wikia.nocookie.net/superheroes/images/3/32/Atlas.jpg/revision/latest/scale-to-width-down/250?cb=20240325040211,,"Avengers #21(August, 1965)","Stan Lee, Jack Kirby","Masters of Evil, Thunderbolts, Defenders, Revengers","Power Man, Goliath",Mobile,"Size increasing, Superhuman strength, Ionic energy form, Invulnerability",Fighting Experience,
Azrael,https://static.wikia.nocookie.net/superheroes/images/4/45/Azrael.jpg/revision/latest/scale-to-width-down/250?cb=20230413204745,,"Batman: Sword of Azrael #1 (October, 1992)","Denny O'Neil, Joe Quesada","Sacred Order of Saint Dumas, Batman Family, Black Lantern Corps, Justice League Odyssey","Michael Washington Lane, Batman",Gotham City,Artificially Enhanced Physiology,"Combat Expertise, High Intelligence, Computer Expertise","Special Armored Costume, Flaming Sword"
Bananaman,https://static.wikia.nocookie.net/superheroes/images/3/35/Bananaman.jpg/revision/latest/scale-to-width-down/144?cb=20150205092843,Eric Wimp,,,,,,"Super strength, the muscles of twenty men, and the brains of twenty mussels, Flight, Invulnerability, Breathing in space, Helium-boosted heat finger, Intense stupidity. Also equipped with gadgets: Thermal Banana, Banana Laser Gun, electronic thermal underwear.",,
Bane,https://static.wikia.nocookie.net/superheroes/images/2/2f/Bane.jpg/revision/latest/scale-to-width-down/250?cb=20161018040355,,"Batman: Vengeance of Bane #1 (January, 1993)","Chuck Dixon, Doug Moench, Graham Nolan",,,Mobile,"Venom enhanced strength and durability, Accelerated healing factor","Brilliant military strategist, Trained mercenary, Peak human physical conditioning, Highly skilled hand-to-hand combatant",
Banshee,https://static.wikia.nocookie.net/superheroes/images/8/89/Banshee.jpg/revision/latest/scale-to-width-down/250?cb=20230904160517,,"The X-Men (Vol. 1) #28 (January, 1967)","Roy Thomas, Werner Roth","Interpol, NYPD, Factor Three, X-Men, Generation X, X-Corps, Horsemen of Death",,Krakoa (currently),"Enhanced hearing, Sonic scream, Flight, Immunity to powers of Black Tom Cassidy","Trained Interpol Agent, Police Officer",
Batgirl,https://static.wikia.nocookie.net/superheroes/images/5/50/Batgirl.jpg/revision/latest/scale-to-width-down/250?cb=20230413171925,,"Detective Comics #359 (January, 1967)",,,"Oracle, Amy Beddoes",Gotham City,,"Highly skilled martial artist and detective, Genius-level intellect, Superb computer hacker, Photographic memory","Batarangs, Various Crime-Fighting Tools"
Batman,https://static.wikia.nocookie.net/superheroes/images/0/09/Batman.jpg/revision/latest/scale-to-width-down/250?cb=20230418165713,Bruce Wayne,"Detective Comics (Vol. 1) #27 (May, 1939)","Bob Kane, Bill Finger","Batman Family, Justice League, Wayne Enterprises, Outsiders, Batmen of All Nations, Batman Incorporated","The Dark Knight, The Dark Knight Detective, The Caped Crusader, Matches Malone, Sir Hemingford Grey, Mordecai Wayne, The Insider, Lefty Knox, Minuteman",Gotham City,,"Genius-level intellect, Peak physical and mental conditioning, Master detective, Master martial artist and Master  hand-to-hand combatant","Utilizes high-tech equipment, weapons, and armors"
Beast,https://static.wikia.nocookie.net/superheroes/images/6/6b/Beast.jpg/revision/latest/scale-to-width-down/250?cb=20230904160610,,"X-Men (vol. 1) #1 (September, 1963)","Stan Lee, Jack Kirby",,"Blue Gorilla, Kreature, Mutate #666","Salem Centre, New York","Animal-like physiology, Superhuman strength, speed, stamina, agility, durability, senses, and dexterity, High pain tolerance, Pheromone manipulation, Razor sharp claws and teeth","Genius Level Intellect, Expertise in a number of scientific fields, specializing in genetics","Most times none, though may build some for special missions and occasions"
Ben 10,https://static.wikia.nocookie.net/superheroes/images/e/ec/Ben_10.png/revision/latest/scale-to-width-down/250?cb=20201028085014,,"Ben 10, ""And Then There Were Ten"" (December 27, 2005)","Man of Action (Duncan Rouleau, Joe Casey, Joe Kelly, and Steven T. Seagle)",,,Plumber HQ,Transform into Aliens with Different Super-Powers,"Agile, Experienced Fighter",Omnitrix
Beyonder,https://static.wikia.nocookie.net/superheroes/images/6/64/Beyonder.jpg/revision/latest/scale-to-width-down/250?cb=20181022175642,,"Marvel Super Heroes Secret Wars #1 (May, 1984)","James Shooter, Mike Zeck",,"Frank, Kurami",The Beyond Realm,"Reality Manipulation, Near Omnipotence, Near Omniscience, Near Omnipresense",Super Intelligence,
Big Barda,https://static.wikia.nocookie.net/superheroes/images/7/7c/Big_Barda.jpg/revision/latest/scale-to-width-down/180?cb=20211124010854,,,,,,,,,
Big Daddy,https://static.wikia.nocookie.net/superheroes/images/0/0e/Big_Daddy.png/revision/latest/scale-to-width-down/250?cb=20171207003307,,"Kick-Ass (Vol. 1) #4 (October, 2008)","Mark Millar, John Romita, Jr.",,,New York City,,Skilled in martial arts and using various weapons and firearms,
Binary,https://static.wikia.nocookie.net/superheroes/images/7/79/Binary.jpg/revision/latest/scale-to-width-down/250?cb=20240218044020,,"Captain Marvel (Vol. 10) #34 (December, 2021)","Kelly Thompson, Russell Dauterman",Marvel Family,Carol Danvers,Mobile,"Superhuman strength, speed, stamina, and durability, Energy projection and absorption, Flight",Skilled in unarmed combat,
Bishop,https://static.wikia.nocookie.net/superheroes/images/b/b4/Bishop.jpg/revision/latest/scale-to-width-down/250?cb=20231020144520,,"Uncanny X-Men (Vol. 1) #282 (November, 1991)","Whilce Portacio, Jim Lee","X-Men, O*N*E, Xavier's Security Enforcers, Interpol, The Twelve, X-Treme Sanctions Executive, NYPD, X-Treme X-Men",,Mobile,"Energy absorption and redirection, Superhuman physical attributes, Ability to instinctively know present location",Military training and combat experience,Various guns (sometimes advanced weapons from the future)
Bizarro,https://static.wikia.nocookie.net/superheroes/images/4/44/Bizarro.jpg/revision/latest?cb=20140609225755,,"Superboy (Vol. 1) #68 (October, 1958)","Alvin Schwartz, Otto Binder, George Papp, Joe Shuster [Creator of Superman, Jerry Seigel [Creator of Superman]",,"El-Kal, Kent Clark, Bizarro #1, Superman, Bizarro Clark, Bizarro-Superman, The Phantom",Bizarro World,"Superhuman strength, hearing, and endurance, Super-sonic-speed, Flight, Healing factor, Invulnerability, Freeze vision, spot-light, x-ray, telescopic and microscopic vision, Heat breath and vacuum breath.","Not particularly skilled, though he may be capable of the inverse of Superman's skills",
Black Adam,https://static.wikia.nocookie.net/superheroes/images/7/70/Black_Adam.jpg/revision/latest/scale-to-width-down/250?cb=20170302154549,,The Marvel Family # 1 (December 1945),"Otto Binder, C. C. Beck","Justice Society of America, Injustice Society, The Society, Suicide Squad, Monster Society of Evil, Black Marvel Family","Theo Adam, Mighty Adam, Khem-Adam",Mobile,"The Stamina of Shu, The Speed of Haru, The Strength of Amon, The Wisdom of Zehuti, The Power of Aton, The Courage of Mehen, Longevity",Fighting Experience,
Black Bolt,https://static.wikia.nocookie.net/superheroes/images/1/18/Black_Bolt.jpg/revision/latest/scale-to-width-down/250?cb=20240320160859,,"Fantastic Four (vol. 1) #45 (September, 1965)","Stan Lee, Jack Kirby",,,Attilan,"Sonic scream, Superhuman strength, Flight, Limited telepathy, Ambient electron and atomic particle manipulation","Leadership Experience, Skilled warrior",
Black Canary,https://static.wikia.nocookie.net/superheroes/images/6/6d/Black_Canary.jpg/revision/latest?cb=20240220175817,,"Justice League of America (Vol. 1) #75 (November, 1969)","Dennis O'Neil, Dick Dillin",,Dinah Lance,Star City,Canary Cry,Master Martial Artist,
Black Cat,https://static.wikia.nocookie.net/superheroes/images/7/77/Black_Cat.jpg/revision/latest/scale-to-width-down/250?cb=20231026172513,,"The Amazing Spider-Man #194 (Vol. 1) (July, 1979)","Marv Wolfman, Keith Pollard",,"Felicia Harmon, Felicity Harmon, Leesh, Party Hardy",New York City,"Probability manipulation, Enhanced agility via earrings, Ability to see in various ranges of the electromagnetic spectrum via contact lenses, Above average strength via micro-servos in costume [Formerly: Superhuman strength, speed, agility and endurance, Night vision, Retractable talons]","Expert burglar, Excellent street fighter, Highly skilled martial artist","Retractable claws and grappling hooks, Various specially designed tools"
Black Lightning,https://static.wikia.nocookie.net/superheroes/images/1/17/Black_Lightning.jpg/revision/latest/scale-to-width-down/250?cb=20190423004603,,"Black Lightning (Vol. 1) #1 (April, 1977)","Tony Isabella, Trevor Von Eeden","Outsiders, Justice League",,"Chicago, Illinois","Electricity manipulation, Energy absorption, Force field generation","Expert martial artist, Olympic-level athlete, Peak physical conditioning",
Black Manta,https://static.wikia.nocookie.net/superheroes/images/5/5c/Black_Manta.png/revision/latest?cb=20180907020155,,,,,,,,,
Black Panther,https://static.wikia.nocookie.net/superheroes/images/e/e6/Black_Panther.jpg/revision/latest/scale-to-width-down/250?cb=20240117215932,,"Fantastic Four (Vol. 1) #52 (July, 1966)","Stan Lee, Jack Kirby",,"Luke Charles, Black Leopard, Mr. Okonkwo",Wakanda,"Superhuman senses, Enhanced strength, speed, agility, stamina, durability, healing and reflexes, Alchemical protection against mystical attacks and detection","Skilled hunter, tracker, strategist, politician, inventor, and scientist, Trained acrobat, martial artist and gymnast, Genius-level intellect",
Black Vulcan,https://static.wikia.nocookie.net/superheroes/images/2/20/Black_Vulcan.jpg/revision/latest/scale-to-width-down/180?cb=20160920072314,,,,,,,,,
Black Widow,https://static.wikia.nocookie.net/superheroes/images/a/a8/Black_Widow.jpg/revision/latest/scale-to-width-down/250?cb=20230323034754,,"Tales of Suspense #52 (January, 1964)","Stan Lee, Don Rico, Don Heck",,Yelena Belova,Avengers HQ  S.H.I.E.L.D HQ,Slowed aging process,"Expert martial artist, spy, gymnast, marksman",
Blackout,https://static.wikia.nocookie.net/superheroes/images/8/84/Blackout.jpg/revision/latest/scale-to-width-down/250?cb=20140709190211,,"Blackout #1 (June, 2014)","Frank J. Barbiere, Colin Lorimer",,,No Information,"Invisibility, Intangibility",Fighting Experience,Blackout Suit
Blackwulf,https://static.wikia.nocookie.net/superheroes/images/8/8d/Blackwulf.jpg/revision/latest/scale-to-width-down/180?cb=20240331183600,,,,,,,,,
Blink,https://static.wikia.nocookie.net/superheroes/images/e/eb/Blink.jpg/revision/latest?cb=20231215205522,,"Uncanny X-Men (Vol. 1) #317 (October, 1994) [Marvel Universe versions], X-Men: Alpha #1 (February, 1995) [Age of Apocalypse Version]","Scott Lobdell, Joe Madureira",,,Interdimensional,"Portal Creation,
Dimensional Energy Projection (Disruption by partial teleportation)",Fighting Experience,None (though she can turn her portals into weapons)
Blob,https://static.wikia.nocookie.net/superheroes/images/d/d8/Blob.gif/revision/latest/scale-to-width-down/250?cb=20160205043604,,"X-Men (Vol. 1) #3 (January, 1964)","Stan Lee, Jack Kirby",,Horseman of Bounty,Mutant Town,"Superhuman Durability and Strength, Gravitational Mass Allocation",Fighting Experience,
Boom-Boom,https://static.wikia.nocookie.net/superheroes/images/c/cf/Boom-Boom.jpg/revision/latest/scale-to-width-down/250?cb=20230920164430,,"Secret Wars II #5 (August, 1985)","Jim Shooter, Al Milgrom","New Mutants,X-Men, X-Force, X-Factor, Nextwave","Time Bomb, Boomer, Meltdown",Krakoa,"Plasma ""time bombs""","Fighting experience, Theft",
Booster Gold,https://static.wikia.nocookie.net/superheroes/images/1/11/Booster_Gold.jpg/revision/latest/scale-to-width-down/250?cb=20240220184907,,"Booster Gold (Vol. 1) #1 (February, 1986)",,,,Metropolis,"Utilizes advanced technology allowing flight, energy blasts, force fields, enhanced strength, time-travel, enhanced visual powers and various other abilities Longevity Expert hand-to-hand combatant","Peak Athletic Ability, Fighting Experience","Legion Flight Ring, Power Suit"
Brainiac,https://static.wikia.nocookie.net/superheroes/images/9/96/Brainiac.png/revision/latest/scale-to-width-down/180?cb=20200120123607,,,,,,,,,
Brainiac 5,https://static.wikia.nocookie.net/superheroes/images/3/34/Brainiac_5.jpg/revision/latest/scale-to-width-down/250?cb=20230420020150,,"Action Comics #276 (May, 1961)","Jerry Siegel, Jim Mooney",The Legion of Super-Heroes,"Brainiac, Brainy",The Legion Clubhouse,12 Level Intelligence,Experienced Leader,Legion Flight Ring
Brother Voodoo,https://static.wikia.nocookie.net/superheroes/images/c/c1/Brother_Voodoo.png/revision/latest/scale-to-width-down/180?cb=20230109143508,,,,,,,,,
Bumblebee,https://static.wikia.nocookie.net/superheroes/images/a/ab/Bumblebee.jpg/revision/latest/scale-to-width-down/250?cb=20240220180520,,"Teen Titans (Vol. 1) #45
(December, 1976) [as Karen Beecher],

Teen Titans (Vol. 1) #48 (June, 1977) [as Bumblebee]",,,,San Francisco,"Shrunk to insect-like size. Her solar-powered suit enables her to fly (via bee-like wings), fire sonic force blasts, and unleash electrical 'stings'.",Fighting Experience,
Cannonball,https://static.wikia.nocookie.net/superheroes/images/f/fa/Cannonball.png/revision/latest/scale-to-width-down/250?cb=20230904054534,,"Marvel Graphic Novel #4: The New Mutants (September, 1982)","Chris Claremont, Bob McLeod","X-Men, New Mutants, X-Force, X-Corporation, X-Treme X-Men, XSE, Mutant Liberation Front, Hellions, Hellfire Club, Jean Grey School, Avengers, U.S.Avengers",Samson Guthry,New York City,"Jet propulsion, Ability to create a nigh impenetrable ""blast field"" while in flight",Fighting Experience,
Captain Atom,https://static.wikia.nocookie.net/superheroes/images/f/fa/Captain_Atom.webp/revision/latest/scale-to-width-down/326?cb=20210914001813,,,,,,,,,
Captain Cold,https://static.wikia.nocookie.net/superheroes/images/e/ee/Captain_Cold.jpg/revision/latest?cb=20180124001706,,"Showcase #8 (June, 1957)","John Broome, Carmine Infantino","Injustice League, Rogues, Secret Society of Super Villains, Suicide Squad, Justice League, Legends, Legion of Doom","The Man who Mastered Absolute Zero, Leonard Wynters, Blue Iceman",Central City,,"Master tactician and strategist, Extensive knowledge of cryonics, Skilled marksman",
Captain Hindsight,https://static.wikia.nocookie.net/superheroes/images/4/43/Captain_Hindsight.jpg/revision/latest/scale-to-width-down/250?cb=20101112014058,,,,,,,"Incredible hindsight (formerly), currently powerless",,
Captain Planet,https://static.wikia.nocookie.net/superheroes/images/e/e2/Captain_Planet.jpg/revision/latest/scale-to-width-down/350?cb=20160429064131,,,,,,,,,
Carnage,https://static.wikia.nocookie.net/superheroes/images/f/fb/Carnage.jpg/revision/latest/scale-to-width-down/350?cb=20130220051548,,,,,,,,,
Catwoman,https://static.wikia.nocookie.net/superheroes/images/f/f1/Catwoman.jpg/revision/latest?cb=20231026170842,,"Batman #404 (February, 1987)",,,"The Cat, Irena Dubrovna",Gotham City,,"Skilled Martial Artist, Acrobat Level Agility, Whip Mastery, Master Thief","Whip, Clawed Gloves"
Chamber,https://static.wikia.nocookie.net/superheroes/images/5/57/Chamber.jpg/revision/latest?cb=20230913210426,,Generation X (Vol. 1) #1 (November 1994),"Scott Lobdell, Chris Bachalo","New Warriors, Clan Akkaba, Generation X, X-Men, Weapon X, Jean Grey School",Decibel,New York City,"Possesses a furnace of psionic energy in chest, Telepathy, Created solidified sound constructs [formerly]",Fighting Experience,
Claire Bennet,https://static.wikia.nocookie.net/superheroes/images/0/0f/Claire_Bennet.jpg/revision/latest/scale-to-width-down/250?cb=20141123200836,,"Heroes, ""Genesis"" (September 25, 2006)",Tim Kring,,"Vivian Lewis, Claire Butler, Bonnie Monaco, Claire Petrelli, Alice Shaw","Odessa, Texas",Accelerated healing factor,Cheerleading Training,
Clayface,https://static.wikia.nocookie.net/superheroes/images/9/95/Clayface.jpg/revision/latest/scale-to-width-down/180?cb=20150626125412,,,,,,,,,
Cloak,https://static.wikia.nocookie.net/superheroes/images/5/56/Cloak.jpg/revision/latest/scale-to-width-down/250?cb=20240401033335,,"Peter Parker, the Spectacular Spider-Man #64 (March, 1982)","Bill Mantlo, Ed Hannigan",,,New York City,"Teleportation, Intangibility, Ability to link to the ""Darkforce Dimension""",Fighting Experience,"Cloak (if removed, he becomes weakened)"
Concrete,https://static.wikia.nocookie.net/superheroes/images/4/44/Concrete.jpg/revision/latest/scale-to-width-down/250?cb=20150121124302,,"Dark Horse Presents (Vol. 1) #1 (July, 1986)",Paul Chadwick,,,Mobile,"Thick, hard concrete like skin",Professional Writer,
Crystal,https://static.wikia.nocookie.net/superheroes/images/e/ed/Crystal.jpg/revision/latest/scale-to-width-down/250?cb=20240220042722,,Fantastic Four (Vol. 1) #45 (December 1965),"Stan Lee, Jack Kirby",,Elementelle,Attilan,"Enhanced Reflexes, Strength, Speed and Endurance, Hydrokinesis, Pyrokinesis, Aerokinesis, Geokinesis",Hand To Hand Combat training and experience,
Cyborg,https://static.wikia.nocookie.net/superheroes/images/6/64/Cyborg.jpg/revision/latest/scale-to-width-down/250?cb=20240220192247,,"DC Comics Presents #26 (October, 1980)","Marv Wolfman, George Pérez","Teen Titans, Titans, Justice League",,Mobile,"Cybernetic super strength, Invulnerability, Technopathy, Sonic blasts","Expert hand-to-hand combatant, Genius level intelligence",
Cyborg Superman,https://static.wikia.nocookie.net/superheroes/images/f/f4/Cyborg_Superman.jpg/revision/latest/scale-to-width-down/180?cb=20210914005918,,,,,,,,,
